id,RestID,Restaurant_Name,Address,Locality,City,Country_Code,Longitude,Latitude,Cuisines,Table_booking,Online_delivery,delv_now,order_menu,avg_cost,Currency,Price_range,Aggregate_rating,Rating_color,Rating_text,Votes
27,6600970,Pizza íæ Bessa,SCS 214-Bloco C-Loja 40-Asa Sul-Brasí_lia,Asa Sul,Brasí_lia,30,-47.91566667,-15.83116667,Pizza,No,No,No,No,50,Brazilian Real(R$),2,3.2,Orange,Average,11
28,6600379,Sushi Loko,SCS 213-Bloco C-Loja 35-Asa Sul-Brasí_lia,Asa Sul,Brasí_lia,30,-47.91566667,-15.831,Japanese,No,No,No,No,80,Brazilian Real(R$),3,3.1,Orange,Average,10
29,6600214,Beirute,CLS 109-Bloco A-Loja 2/6-Asa Sul-Brasí_lia,Asa Sul,Brasí_lia,30,-47.9075,-15.82,Arabian,No,No,No,No,90,Brazilian Real(R$),3,3.7,Yellow,Good,8
30,6601218,New Koto,SCS 212-Bloco B-Loja 26-Asa Sul-Brasí_lia,Asa Sul,Brasí_lia,30,-47.91016667,-15.82733333,Japanese,No,No,No,No,200,Brazilian Real(R$),4,3.7,Yellow,Good,5
31,6600060,Sandubas Cafí©,Edifí_cio Josí© Severo-SCS 6-Bloco A-Loja 99-Asa Sul-Brasí_lia,Asa Sul,Brasí_lia,30,-47.89016667,-15.797,Brazilian- Cafe,No,No,No,No,30,Brazilian Real(R$),1,0,White,Not rated,2
32,6600083,Villa Tevere,CLS 115-Bloco A-Loja 2-Asa Sul-Brasí_lia,Asa Sul,Brasí_lia,30,-47.92366667,-15.83133333,Italian,No,No,No,No,150,Brazilian Real(R$),4,4.1,Green,Very Good,12
33,6601515,Rovereto,Rua 13 Norte-Lote 4-í guas Claras-Brasí_lia,í guas Claras,Brasí_lia,30,-48.019,-15.83716667,Pizza,No,No,No,No,100,Brazilian Real(R$),4,3.1,Orange,Average,9
34,6601361,Buena Carne,Avenida Araucíçrias-1325-Loja 19-í guas Claras-Brasí_lia,í guas Claras,Brasí_lia,30,-48.01909167,-15.839775,Bar Food- Brazilian,No,No,No,No,60,Brazilian Real(R$),3,3.6,Yellow,Good,9
35,6601602,Taco Pep,Vila Malls-Avenida das Castanheiras-Lote 1060-í€guas Claras-Brasí_lia,í guas Claras,Brasí_lia,30,-48.01666667,-15.83483333,Mexican- Grill,No,No,No,No,100,Brazilian Real(R$),4,4.3,Green,Very Good,29
36,6601589,Coco Bambu,Brasí_lia Shopping -Piso 2-SCN 5-Bloco A-Asa Norte-Brasí_lia,Brasí_lia Shopping-Asa Norte,Brasí_lia,30,-47.889,-15.7865,International,No,No,No,No,230,Brazilian Real(R$),4,4.2,Green,Very Good,17
37,6601862,Taypíç,Fashion Park-Shis Ql 17-Bloco G-Loja 208-Lago Sul-Brasí_lia,Lago Sul,Brasí_lia,30,-47.872359,-15.860621,Peruvian- Latin American,No,No,No,No,100,Brazilian Real(R$),4,3.6,Yellow,Good,5
38,6601595,Outback Steakhouse,ParkShopping -Piso 2-SAI/SO-í rea 6580-Guaríç I-Brasí_lia,ParkShopping-Guaríç I,Brasí_lia,30,-47.95628333,-15.83451389,American- Grill,No,No,No,No,150,Brazilian Real(R$),4,4,Green,Very Good,10
39,6601158,Manzuíç,Pontí£o Lago Sul-SHIS 10-Lote 9-Lago Sul-Brasí_lia,Pontí£o Lago Sul-Lago Sul,Brasí_lia,30,-47.87283333,-15.82566667,Seafood,No,No,No,No,240,Brazilian Real(R$),4,3.2,Orange,Average,6
40,6600427,Coco Bambu,SCES-Trecho 2-Conjunto 13/36-Setor de Clubes Esportivos Sul-Brasí_lia,Setor De Clubes Esportivos Sul,Brasí_lia,30,-47.8685,-15.819,International,No,No,No,No,230,Brazilian Real(R$),4,4.9,Dark Green,Excellent,30
41,6600116,Gero,Shopping Iguatemi -piso 1-SHIN CA 4-Lote A-Lago Norte-Brasí_lia,Shopping Iguatemi-Lago Norte,Brasí_lia,30,-47.885812,-15.720118,Italian,No,No,No,No,350,Brazilian Real(R$),4,3.3,Orange,Average,8
42,6601457,Brazilian American Burgers,CLSN 301-Bloco C-Loja 86-Sudoeste-Brasí_lia,Sudoeste,Brasí_lia,30,-47.92102778,-15.79753056,American- Burger,No,No,No,No,50,Brazilian Real(R$),2,3.6,Yellow,Good,9
43,7303219,Pesqueiro Eco Gourmet,Praia da Barra da Tijuca-Avenida Lí_cio Costa-Ilha 25-Barra da Tijuca-Rio de Janeiro,Barra da Tijuca,Rio de Janeiro,30,-43.377,-23.0115,Seafood- Bar Food- Brazilian,No,No,No,No,140,Brazilian Real(R$),4,4,Green,Very Good,7
44,7304307,Confeitaria Colombo,Rua Goní_alves Dias-32-Centro-Rio de Janeiro,Centro,Rio de Janeiro,30,-43.178826,-22.905293,Desserts- Cafe,No,No,No,No,100,Brazilian Real(R$),4,4.8,Dark Green,Excellent,29
45,7301215,Bibi,Rua Santa Clara-36-Copabana-Rio de Janeiro,Copacabana,Rio de Janeiro,30,-43.18669167,-22.97207222,Juices- Healthy Food,No,No,No,No,60,Brazilian Real(R$),3,4.7,Dark Green,Excellent,24
46,7300596,Cervantes,Avenida Prado Junior-335 B-Copacabana-Rio de Janeiro,Copacabana,Rio de Janeiro,30,-43.17583333,-22.96216667,Beverages- Bar Food- Fast Food,No,No,No,No,90,Brazilian Real(R$),3,4.5,Dark Green,Excellent,29
47,7300612,Amir,Rua Ronald de Carvalho-55-Copacabana-Rio de Janeiro,Copacabana,Rio de Janeiro,30,-43.176,-22.96516667,Lebanese,No,No,No,No,170,Brazilian Real(R$),4,4.2,Green,Very Good,11
48,7300704,TT Burger,Galeria River-Rua Francisco Otaviano-67-Copacabana-Rio de Janeiro,Galeria River-Copacabana,Rio de Janeiro,30,-43.191,-22.98683333,Burger,No,No,No,No,60,Brazilian Real(R$),3,4.8,Dark Green,Excellent,19
49,7300955,Braseiro da Gíçvea,Praí_a Santos Dumont-116-Gíçvea-Rio de Janeiro,Gíçvea,Rio de Janeiro,30,-43.227042,-22.973507,Brazilian- Bar Food,No,No,No,No,100,Brazilian Real(R$),4,4.9,Dark Green,Excellent,40
50,7300521,Balada Mix,Rua Aní_bal de Mendoní_a-37-Ipanema-Rio de Janeiro,Ipanema,Rio de Janeiro,30,-43.211425,-22.98520833,Brazilian- Healthy Food- Juices- Pizza,No,No,No,No,90,Brazilian Real(R$),3,4.6,Dark Green,Excellent,21
51,7300515,Garota de Ipanema,Rua Vinicius de Moraes-49-Ipanema-Rio de Janeiro,Ipanema,Rio de Janeiro,30,-43.203,-22.98533333,Brazilian- Bar Food,No,No,No,No,120,Brazilian Real(R$),4,4.9,Dark Green,Excellent,49
52,7300483,Zazíç BistríÇ Tropical,Rua Joana Angí©lica-40-Ipanema-Rio de Janeiro,Ipanema,Rio de Janeiro,30,-43.20520833,-22.98531944,Brazilian,No,No,No,No,170,Brazilian Real(R$),4,4.6,Dark Green,Excellent,21
53,7301064,Filí© de Ouro,Rua Jardim Botí¢nico-731-Jardim Botí¢nico-Lagoa-Rio de Janeiro,Lagoa,Rio de Janeiro,30,-43.219563,-22.966647,Brazilian,No,No,No,No,90,Brazilian Real(R$),3,4.3,Green,Very Good,14
54,7304312,D.O.C Ristorante,Le Monde-Bloco 3-Lojas A/B-Avenida das Amí©ricas-3500-Barra da Tijuca-Rio de Janeiro,Le Monde-Barra da Tijuca,Rio de Janeiro,30,-43.34879167,-22.99991111,Italian,No,No,No,No,150,Brazilian Real(R$),4,4,Green,Very Good,5
55,7300004,Sushi Leblon,Rua Dias Ferreira-256-Leblon-Rio de Janeiro,Leblon,Rio de Janeiro,30,-43.227,-22.98416667,Japanese,No,No,No,No,250,Brazilian Real(R$),4,4.6,Dark Green,Excellent,25
56,7300868,Talho Capixaba,Avenida Ataulfo de Paiva-1022-Lojas A e B-Leblon-Rio de Janeiro,Leblon,Rio de Janeiro,30,-43.22566667,-22.98516667,Bakery- Sandwich- Brazilian,No,No,No,No,120,Brazilian Real(R$),4,4.4,Green,Very Good,13
57,7302637,Leme Light,Rua Gustavo Sampaio-798-Leme-Rio de Janeiro,Leme,Rio de Janeiro,30,-43.17279167,-22.963925,Brazilian,No,No,No,No,40,Brazilian Real(R$),2,4.2,Green,Very Good,7
58,7302140,Shirley,Rua Gustavo Sampaio-610-Leme-Rio de Janeiro,Leme,Rio de Janeiro,30,-43.17126389,-22.96337222,Brazilian- Seafood,No,No,No,No,250,Brazilian Real(R$),4,4.2,Green,Very Good,8
59,7305048,Quiosque Chopp Brahma,Madureira Shopping -Loja 289/290-Piso 2-Estrada do Portela-222-Madureira-Rio de Janeiro-RJ,Madureira,Rio de Janeiro,30,-43.341164,-22.870413,Bar Food- Brazilian,No,No,No,No,70,Brazilian Real(R$),3,0,White,Not rated,1
60,7302898,Aprazí_vel,Rua Aprazí_vel-62-Santa Teresa-Rio de Janeiro,Santa Teresa,Rio de Janeiro,30,-43.18736944,-22.92481389,Brazilian,No,No,No,No,300,Brazilian Real(R$),4,4.7,Dark Green,Excellent,44
61,7302859,Aconchego Carioca,Rua Barí£o de Iguatemi-379-Tijuca-Rio de Janeiro,Tijuca,Rio de Janeiro,30,-43.21551111,-22.91370833,Brazilian- Bar Food,No,No,No,No,85,Brazilian Real(R$),3,4.6,Dark Green,Excellent,24
62,7301700,Garota de Ipanema,Avenida Joí£o Alves-56-Urca-Rio de Janeiro,Urca,Rio de Janeiro,30,-43.16266667,-22.94783333,Brazilian- Bar Food,No,No,No,No,80,Brazilian Real(R$),3,4.3,Green,Very Good,10
63,6706313,Cantina Famiglia Mancini,Rua Avanhandava-81-Bela Vista-Sí£o Paulo 10000,Bela Vista-Centro,Sí£o Paulo,30,-46.64516667,-23.55066667,Italian- Pizza,No,No,No,No,250,Brazilian Real(R$),4,4.5,Dark Green,Excellent,49
64,6704326,Templo da Carne - Marcos Bassi,Rua Treze de Maio-668-Bela Vista-Sí£o Paulo 01327000,Bela Vista-Centro,Sí£o Paulo,30,-46.64633333,-23.559,Steak- BBQ,No,No,No,No,250,Brazilian Real(R$),4,4.4,Green,Very Good,17
65,6711179,Gopala Hari,Rua Antonio Carlos-429-Consolaí_í£o-Sí£o Paulo,Consolaí_í£o,Sí£o Paulo,30,-46.65866667,-23.55616667,Indian,No,No,No,No,70,Brazilian Real(R$),3,3.1,Orange,Average,5
66,6702797,Jiquitaia,Rua AntíÇnio Carlos-268-Consolaí_í£o-Sí£o Paulo,Consolaí_í£o,Sí£o Paulo,30,-46.657523,-23.55671,Brazilian,No,No,No,No,100,Brazilian Real(R$),4,4.1,Green,Very Good,15
67,6700475,Skye - Hotel Unique,Hotel Unique-Avenida Brigadeiro Luí_s AntíÇnio-4700-Jardim Paulista-Sí£o Paulo,Hotel Unique-Jardim Paulista,Sí£o Paulo,30,-46.666851,-23.581688,Beverages- International,No,No,No,No,300,Brazilian Real(R$),4,4.8,Dark Green,Excellent,59
68,6713413,Les 3 Brasseurs,Rua Jesuí_no Arruda-470-Itaim Bibi-Sí£o Paulo,Itaim Bibi,Sí£o Paulo,30,-46.67511,-23.582135,French- Brazilian- Beverages,No,No,No,No,120,Brazilian Real(R$),4,4.6,Dark Green,Excellent,30
69,6714340,Red Steak & Burger,Rua Tabapuí£-1417-Itaim Bibi-Sí£o Paulo,Itaim Bibi,Sí£o Paulo,30,-46.683888,-23.585324,Brazilian- Grill,No,No,No,No,75,Brazilian Real(R$),3,3.9,Yellow,Good,5
70,6710645,Cantinho da Gula,Rua Pedroso Alvarenga-522-Itaim Bibi-Sí£o Paulo-SP,Itaim Bibi,Sí£o Paulo,30,-46.67566667,-23.581,Brazilian,No,No,No,No,55,Brazilian Real(R$),2,0,White,Not rated,0
71,6700402,Paris 6 Classique,Rua Haddock Lobo-1240-Cerqueira Cí©sar-Jardim Paulista-Sí£o Paulo,Jardim Paulista,Sí£o Paulo,30,-46.666041,-23.561568,French,No,No,No,No,200,Brazilian Real(R$),4,3.4,Orange,Average,73
72,6700846,Kawa Sushi,Alameda Lorena-300-Jardim Paulista-Sí£o Paulo,Jardim Paulista,Sí£o Paulo,30,-46.657418,-23.571638,Sushi- Japanese,No,No,No,No,120,Brazilian Real(R$),4,3.5,Yellow,Good,9
73,6702159,A Figueira Rubaiyat,Rua Haddock Lobo-1738-Cerqueira Cí©sar-Jardim Paulista-Sí£o Paulo 10000,Jardim Paulista,Sí£o Paulo,30,-46.66983333,-23.5655,BBQ- Grill- Brazilian,No,No,No,No,300,Brazilian Real(R$),4,4.3,Green,Very Good,39
74,6711666,Kinoshita,Rua Jacques Fí©lix-405-Vila Nova Conceií_í£o-Moema-Sí£o Paulo,Moema,Sí£o Paulo,30,-46.67133333,-23.59233333,Sushi,No,No,No,No,230,Brazilian Real(R$),4,3.9,Yellow,Good,12
75,6701257,Meats,Rua dos Pinheiros-320-Pinheiros-Sí£o Paulo,Pinheiros,Sí£o Paulo,30,-46.68133333,-23.56483333,Gourmet Fast Food- Burger,No,No,No,No,120,Brazilian Real(R$),4,4.3,Green,Very Good,68
76,6706211,Paribar,Praí_a Dom Josí© Gaspar-42-Repí_blica-Sí£o Paulo 10000,Repí_blica,Sí£o Paulo,30,-46.64159444,-23.54664167,Brazilian- Italian,No,No,No,No,150,Brazilian Real(R$),4,4.3,Green,Very Good,46
77,6705858,Terraí_o Itíçlia,Edifí_cio Itíçlia -41ŒÁ Andar-Avenida Ipiranga-344-Repí_blica-Sí£o Paulo,Repí_blica,Sí£o Paulo,30,-46.643425,-23.545163,Italian,No,No,No,No,400,Brazilian Real(R$),4,4.4,Green,Very Good,37
78,6701419,Divino Fogí£o,Shopping MetríÇ Santa Cruz -Piso L2-Rua Domingos de Morais-2564-Vila Mariana-Sí£o Paulo,Shopping MetríÇ Santa Cruz-Vila Mariana,Sí£o Paulo,30,-46.63716667,-23.5995,Brazilian- Mineira,No,No,No,No,65,Brazilian Real(R$),3,0,White,Not rated,2
79,6703956,Super Grill,Shopping Morumbi -Piso Lazer-Avenida Roque Petroni Jí_nior-1089-Santo Amaro-Sí£o Paulo,Shopping Morumbi-Santo Amaro,Sí£o Paulo,30,-46.698574,-23.622925,Brazilian,No,No,No,No,50,Brazilian Real(R$),2,0,White,Not rated,2
80,6709580,Esquina Mocotí_,Avenida Nossa Senhora do Loreto-1104-Vila Medeiros-Vila Maria-Sí£o Paulo,Vila Maria,Sí£o Paulo,30,-46.581672,-23.486535,Brazilian- North Eastern,No,No,No,No,100,Brazilian Real(R$),4,4.4,Green,Very Good,22
81,6703176,Veloso,Rua Conceií_í£o Veloso-56-Vila Mariana-Sí£o Paulo,Vila Mariana,Sí£o Paulo,30,-46.63566667,-23.58516667,Brazilian- Bar Food- Beverages,No,No,No,No,70,Brazilian Real(R$),3,4.6,Dark Green,Excellent,58
82,6713772,Sainte Marie Gastronomia,Rua Dom Joí£o Batista da Costa-70-Vila SíÇnia-Sí£o Paulo,Vila SíÇnia,Sí£o Paulo,30,-46.746958,-23.609207,Lebanese- Arabian,No,No,No,No,120,Brazilian Real(R$),4,4.1,Green,Very Good,11
83,17284404,Austin's BBQ and Oyster Bar,2820 Meredyth Dr-Albany-GA 31707,Albany,Albany,216,-84.221535,31.610387,BBQ- Burger- Seafood,No,No,No,No,25,Dollar($),2,3.3,Orange,Average,35
84,17284203,BJ's Country Buffet,2401 Dawson Rd-Albany-GA 31707,Albany,Albany,216,-84.207095,31.608743,American- BBQ,No,No,No,No,10,Dollar($),1,3.3,Orange,Average,25
85,17284105,Cookie Shoppe,115 N Jackson St-Albany-GA 31701,Albany,Albany,216,-84.154,31.5772,,No,No,No,No,0,Dollar($),1,3.4,Orange,Average,34
86,17284302,El Vaquero Mexican Restaurant,2700 Dawson Rd-Albany-GA 31707,Albany,Albany,216,-84.2194,31.6158,Mexican,No,No,No,No,0,Dollar($),1,3.4,Orange,Average,45
87,17284397,Elements Coffee Co - Northwest,2726 Ledo Rd Ste 10-Albany-GA 31707,Albany,Albany,216,-84.206944,31.622412,Coffee and Tea- Sandwich,No,No,No,No,10,Dollar($),1,3.4,Orange,Average,26
88,17284211,Pearly's Famous Country Cookng,814 N Slappey Blvd-Albany-GA 31701,Albany,Albany,216,-84.1759,31.5882,,No,No,No,No,0,Dollar($),1,3.4,Orange,Average,36
89,17284094,Chick-fil-A,2703 Dawson Rd-Albany-GA 31707,Albany,Albany,216,-84.2193,31.616,Fast Food,No,No,No,No,10,Dollar($),1,3.5,Yellow,Good,67
90,17284409,Guang Zhou Chinese Restaurant,1214 N Westover Blvd-Albany-GA 31707,Albany,Albany,216,-84.2091458,31.6155186,Asian- Chinese- Vegetarian,No,No,No,No,10,Dollar($),1,3.9,Yellow,Good,141
91,17284139,Harvest Moon,2347 Dawson Road-Albany-GA 31707,Albany,Albany,216,-84.205718,31.604905,Pizza- Bar Food- Sandwich,No,No,No,No,25,Dollar($),2,3.7,Yellow,Good,147
92,17284403,Henry Campbell's Steakhouse,629 N. Westover Blvd-Albany-GA 31707,Albany,Albany,216,-84.223278,31.612121,Steak- Tapas- Bar Food,No,No,No,No,70,Dollar($),4,3.5,Yellow,Good,51
93,17284145,Hong Kong Cafe,2700 Dawson Rd-Albany-GA 31707,Albany,Albany,216,-84.2191,31.6156,Chinese- Seafood- Vegetarian,No,No,No,No,25,Dollar($),2,3.6,Yellow,Good,88
94,17284150,House of China Restaurant II,2526 Dawson Rd Ste A-Albany-GA 31707,Albany,Albany,216,-84.212,31.6104,Chinese,No,No,No,No,10,Dollar($),1,3.8,Yellow,Good,153
95,17284158,Jimmie's Hot Dogs,204 S Jackson St-Albany-GA 31701,Albany,Albany,216,-84.1534,31.5751,,No,No,No,No,10,Dollar($),1,3.9,Yellow,Good,160
96,17284175,Locos Grill & Pub,547 N Westover Blvd-Albany-GA 31707,Albany,Albany,216,-84.2228,31.6077,American- Burger- Sandwich,No,No,No,No,25,Dollar($),2,3.5,Yellow,Good,57
97,17284179,Longhorn Steakhouse,2733 Dawson Rd-Albany-GA 31707,Albany,Albany,216,-84.2229,31.6185,American- Steak,No,No,No,No,25,Dollar($),2,3.5,Yellow,Good,58
98,17284197,Mikata Japanese Steakhouse,2610 Dawson Rd-Albany-GA 31707,Albany,Albany,216,-84.2164,31.6137,Japanese- Steak- Sushi,No,No,No,No,40,Dollar($),3,3.6,Yellow,Good,115
99,17284241,Shogun Japanese Steak House,629 N Westover Blvd-Albany-GA 31707,Albany,Albany,216,-84.2233,31.6118,Japanese- Steak- Sushi,No,No,No,No,40,Dollar($),3,3.5,Yellow,Good,51
100,17284390,The Catch Seafood Room & Oyster Bar,2332 Whispering Pines Road-Albany-GA 31707,Albany,Albany,216,-84.205025,31.605882,Seafood- Tapas- Bar Food,No,No,No,No,40,Dollar($),3,3.8,Yellow,Good,250
101,17284279,Villa Gargano,1604 N Slappey Blvd-Albany-GA 31701,Albany,Albany,216,-84.1757,31.5985,Italian- Pizza,No,No,No,No,10,Dollar($),1,3.7,Yellow,Good,117
102,17284364,3 Squares Diner,202 W Franklin St-Sylvester-GA 31791,Sylvester,Albany,216,-83.8389,31.5308,American- Breakfast- Diner,No,No,No,No,10,Dollar($),1,3.4,Orange,Average,20
103,16611114,Whitebull Hotel,117 Marsh St-Armidale-NSW,Armidale,Armidale,14,151.6688792,-30.5147169,Bar Food- Steak,No,No,No,No,20,Dollar($),2,3.5,Yellow,Good,25
104,17293281,Last Resort Grill,184 W Clayton St-Athens-GA 30601,Athens,Athens,216,-83.378273,33.957999,American- Southern- Southwestern,No,No,No,No,40,Dollar($),3,4.5,Dark Green,Excellent,1821
105,17293301,Mama's Boy Restaurant,197 Oak St-GA 30601,Athens,Athens,216,-83.3654,33.9535,Southern,No,No,No,No,10,Dollar($),1,4.5,Dark Green,Excellent,849
106,17293409,Sr. Sol 1,175 Tallassee Rd-Athens-GA 30606,Athens,Athens,216,-83.4293,33.9652,Mexican,No,No,No,No,10,Dollar($),1,4.6,Dark Green,Excellent,917
107,17293163,Choo Choo Eastside,1055 Gaines School Rd Ste 100-Athens-GA 30605,Athens,Athens,216,-83.3389,33.9259,Japanese- Korean,No,No,No,No,10,Dollar($),1,3.9,Yellow,Good,439
108,17293228,The Grill,171 College Ave-Athens-GA 30601,Athens,Athens,216,-83.375523,33.958198,Breakfast- Burger- Sandwich,No,No,No,No,10,Dollar($),1,3.7,Yellow,Good,289
